game_id,player_id,team_id,total_distance_m,rel_hsr_frames,rel_hsr_dist_m,abs_hsr_frames,abs_hsr_dist_m,max_speed_kmh,avg_speed_kmh,rel_hsr_runs,abs_hsr_runs,delta_hsr_dist_m,delta_hsr_runs,player_name,position,team_name,team_short,vmax_kmh,sb_player_id,sb_data_available,match_id,goals,xg,shots,shots_on_target,passes_attempted,passes_completed,pass_completion_pct,pressures,crosses,through_balls,dribbles_attempted,dribbles_completed,interceptions,blocks,clearances,counterpresses,match_date,match_stage,home_team_id,away_team_id,home_score,away_score
3827,12642,375,1795.3,788.0,152.9,27.0,6.2,22.06,7.82,20,1,146.7,19,Ivan Ilić,CM,Serbia,SRB,20.147701,30179,true,3857258,0,0.0,0,0,20,19,95.0,9,0,0,0,0,1,0,0,4,2022-11-24,Group Stage,781,786,2,0
3840,5074,379,3001.5,589.0,141.0,538.0,129.8,25.26,6.43,15,13,11.2,2,Bryan Mbeumo,RW,Cameroon,CMR,24.736969,4935,true,3857259,0,0.0,0,0,23,13,56.5,12,3,0,3,0,0,0,0,6,2022-11-28,Group Stage,2722,786,3,3
3845,13962,360,2557.5,164.0,45.1,198.0,52.7,33.77,6.05,4,5,-7.6,-1,Almoez Ali,CF,Qatar,QAT,25.364681,124495,true,3857294,0,0.0,0,0,14,13,92.9,8,0,0,2,1,0,1,0,3,2022-11-29,Group Stage,941,3566,2,0
3851,3367,58,2863.7,115.0,30.8,145.0,37.5,26.04,6.54,3,4,-6.7,-1,Henry Martín,CF,Mexico,MEX,25.567476,26400,true,3857260,1,0.604,3,1,10,7,70.0,18,0,0,0,0,1,0,1,6,2022-11-30,Group Stage,799,794,1,2
3828,8062,384,3821.5,165.0,38.1,148.0,34.3,22.27,7.1,4,4,3.8,0,Aaron Ramsey,CM,Wales,WAL,24.778423,3517,true,3857273,0,0.025,1,0,50,38,76.0,4,0,2,3,0,1,2,0,1,2022-11-25,Group Stage,907,797,0,2
3828,8062,384,3821.5,165.0,38.1,148.0,34.3,22.27,7.1,4,4,3.8,0,Aaron Ramsey,CM,Wales,WAL,24.778423,3517,true,3857273,0,0.025,1,0,50,38,76.0,4,0,2,3,0,1,2,0,1,2022-11-25,Group Stage,907,797,0,2
3831,1336,51,3337.9,109.0,29.4,162.0,41.3,26.17,6.48,3,4,-11.9,-1,Timothy Weah,RW,United States,USA,26.142843,3377,true,3857272,0,0.0,0,0,25,19,76.0,14,3,0,3,3,0,3,0,1,2022-11-25,Group Stage,768,1839,0,0
3831,1336,51,3337.9,109.0,29.4,162.0,41.3,26.17,6.48,3,4,-11.9,-1,Timothy Weah,RW,United States,USA,26.142843,3377,true,3857272,0,0.0,0,0,25,19,76.0,14,3,0,3,3,0,3,0,1,2022-11-25,Group Stage,768,1839,0,0
3858,1991,375,3438.8,172.0,44.8,254.0,63.5,25.49,5.84,4,6,-18.7,-2,Aleksandar Mitrovic,CF,Serbia,SRB,26.47058,4269,true,3857256,1,0.152,3,1,23,17,73.9,4,0,0,0,0,0,2,0,5,2022-12-02,Group Stage,786,773,2,3
3833,3994,376,2630.4,246.0,62.7,246.0,62.7,28.57,6.34,6,6,0.0,0,Arkadiusz Milik,CF,Poland,POL,24.962921,5665,true,3857297,0,0.135,1,0,15,13,86.7,7,0,0,0,0,0,2,0,5,2022-11-26,Group Stage,789,799,2,0
10516,401,374,2333.0,29.0,7.3,39.0,9.5,24.39,6.0,1,1,-2.2,0,Sofiane Boufal,LW,Morocco,MAR,26.114058,3625,true,3869684,0,0.086,1,0,23,18,78.3,13,1,0,2,1,0,3,0,1,2022-12-17,3rd Place Final,785,788,2,1
10517,4012,363,1838.6,124.0,28.2,69.0,16.3,22.46,6.15,3,2,11.9,1,Eduardo Camavinga,CM,France,FRA,24.049726,24778,true,3869685,0,0.0,0,0,24,21,87.5,10,0,0,2,1,0,1,1,4,2022-12-18,Final,779,771,3,3
10517,4012,363,1838.6,124.0,28.2,69.0,16.3,22.46,6.15,3,2,11.9,1,Eduardo Camavinga,CM,France,FRA,24.049726,24778,true,3869685,0,0.0,0,0,24,21,87.5,10,0,0,2,1,0,1,1,4,2022-12-18,Final,779,771,3,3
3847,13975,373,1766.4,301.0,72.3,255.0,62.4,24.85,6.27,8,6,9.9,2,Milad Mohammadi,LWB,Iran,IRN,23.46992,5720,true,3857278,0,0.0,0,0,15,13,86.7,18,0,0,1,1,0,2,1,4,2022-11-29,Group Stage,797,1839,0,1
3847,13975,373,1766.4,301.0,72.3,255.0,62.4,24.85,6.27,8,6,9.9,2,Milad Mohammadi,LWB,Iran,IRN,23.46992,5720,true,3857278,0,0.0,0,0,15,13,86.7,18,0,0,1,1,0,2,1,4,2022-11-29,Group Stage,797,1839,0,1
10502,1971,51,3645.4,245.0,69.2,428.0,111.9,32.48,5.92,6,11,-42.7,-5,Tim Ream,LCB,United States,USA,27.932041,18242,true,3869117,0,0.258,1,1,84,72,85.7,8,0,0,0,0,2,1,4,0,2022-12-03,Round of 16,941,1839,3,1
3847,1971,51,3828.1,170.0,57.7,306.0,89.0,43.47,6.04,4,8,-31.3,-4,Tim Ream,LCB,United States,USA,27.932041,18242,true,3857278,0,0.0,0,0,58,54,93.1,2,0,0,0,0,3,0,5,3,2022-11-29,Group Stage,797,1839,0,1
3833,9939,376,1130.0,23.0,5.6,53.0,12.6,22.53,6.19,1,1,-7.0,0,Jakub Kaminski,RM,Poland,POL,27.08794,31955,true,3857297,0,0.0,0,0,13,10,76.9,3,3,0,1,0,1,0,0,4,2022-11-26,Group Stage,789,799,2,0
