team_id,team_name,goals_per_game,xg_per_game,shots_per_game,shots_on_target_per_game,avg_possession_pct,avg_pass_completion_pct,passes_per_game,crosses_per_game,through_balls_per_game,pressures_per_game,avg_ppda,interceptions_per_game,dribbles_per_game,rel_hsr_runs_per_game,rel_hsr_dist_m_per_game,abs_hsr_runs_per_game,abs_hsr_dist_m_per_game,delta_hsr_runs_per_game,delta_hsr_dist_m_per_game,avg_max_speed_kmh,wins,draws,losses,total_goals,games_played
768,England,2.6,1.75,12.6,5.6,63.1,86.3,647.6,11.4,0.8,97.0,3.13,9.2,12.4,65.8,700.0,50.4,573.2,15.4,126.9,40.44,3,1,1,13,5
770,Germany,2.0,2.74,22.7,8.0,59.0,84.4,654.3,15.7,5.3,128.0,2.74,11.0,20.7,56.3,688.9,57.3,735.6,-1.0,-46.7,40.83,1,1,1,6,3
771,France,2.57,2.14,15.1,5.4,50.9,83.3,560.9,13.4,1.3,129.3,3.46,13.6,18.6,49.0,616.4,59.0,739.6,-10.0,-123.2,42.94,5,1,1,18,7
772,Spain,2.25,1.78,12.8,4.5,75.3,90.2,978.5,13.8,4.8,111.3,2.34,9.3,19.3,54.5,625.3,58.5,683.2,-4.0,-57.9,44.06,1,2,1,9,4
773,Switzerland,1.25,1.52,9.3,3.3,48.8,82.1,508.8,8.8,3.5,111.0,4.0,10.8,6.3,51.3,618.0,52.8,644.9,-1.5,-27.0,43.35,2,0,2,5,4
776,Denmark,0.33,1.06,11.7,3.7,59.7,83.7,642.7,13.3,1.0,112.3,3.03,11.0,15.7,52.7,647.4,79.3,1025.4,-26.7,-378.0,43.63,0,1,2,1,3
777,Tunisia,0.33,0.8,10.7,2.7,44.0,75.3,442.0,11.3,2.3,120.3,3.71,11.0,13.3,67.3,771.3,57.7,685.5,9.7,85.8,41.39,1,1,1,1,3
778,Japan,1.5,1.85,12.0,4.5,36.0,75.8,437.0,9.5,0.8,173.0,3.72,12.8,12.3,48.5,626.7,59.3,771.1,-10.8,-144.4,43.7,2,1,1,6,4
779,Argentina,3.29,3.0,15.7,8.0,57.7,84.9,659.3,11.7,4.6,140.0,2.89,10.0,17.4,54.3,590.8,53.7,621.4,0.6,-30.5,42.18,4,2,1,23,7
780,Portugal,2.4,1.46,13.2,5.2,60.9,84.8,625.8,13.2,4.0,106.0,3.25,6.0,13.0,53.4,609.6,60.2,713.5,-6.8,-104.0,39.07,3,0,2,12,5
781,Brazil,2.0,2.73,19.8,9.2,56.0,86.8,639.2,15.6,1.8,121.0,3.53,8.4,20.0,48.8,568.9,66.4,798.1,-17.6,-229.2,40.95,3,1,1,10,5
782,Belgium,0.33,1.23,11.7,3.3,56.8,85.5,622.3,10.0,5.0,103.0,3.66,7.7,12.3,64.3,711.1,49.3,568.0,15.0,143.1,40.32,1,1,1,1,3
783,Uruguay,0.67,1.09,11.0,3.3,48.4,78.3,492.3,12.0,1.0,124.7,3.32,12.0,11.3,47.7,638.2,55.0,741.4,-7.3,-103.1,41.01,1,1,1,2,3
785,Croatia,2.14,1.88,12.4,4.7,54.4,84.0,644.4,16.6,1.4,135.6,3.3,12.1,13.0,48.4,583.7,60.6,740.1,-12.1,-156.4,37.98,2,4,1,15,7
786,Serbia,1.67,1.03,10.7,3.0,51.1,78.9,501.0,14.0,1.7,120.0,3.25,8.3,7.7,71.0,774.8,59.0,704.7,12.0,70.1,45.0,0,1,2,5,3
787,Senegal,1.25,1.07,12.5,3.0,45.3,78.1,424.0,11.0,1.0,128.0,3.37,7.8,13.3,55.8,636.2,53.5,655.8,2.3,-19.7,42.03,2,0,2,5,4
788,Morocco,1.29,1.24,9.4,2.9,38.8,78.9,409.3,8.0,1.6,155.0,3.51,12.7,14.9,45.6,549.2,58.6,715.7,-13.0,-166.5,40.92,3,2,2,9,7
789,Poland,0.75,1.17,7.8,1.8,37.2,77.7,381.0,8.0,0.5,115.8,4.66,9.5,9.8,46.5,542.0,46.3,555.1,0.3,-13.0,40.07,1,1,2,3,4
791,South Korea,1.25,0.9,12.0,4.5,48.4,80.9,502.8,12.8,0.8,128.8,3.6,11.8,10.5,44.0,571.5,64.5,825.8,-20.5,-254.4,43.11,1,1,2,5,4
792,Australia,0.75,0.39,6.5,2.0,38.3,73.4,426.8,8.8,0.3,137.3,4.17,10.5,12.0,51.5,658.8,59.0,763.8,-7.5,-105.0,42.18,2,0,2,3,4
794,Mexico,0.67,1.02,13.7,5.0,53.9,77.0,478.3,16.0,1.0,127.3,2.7,13.0,10.7,47.0,568.9,64.3,816.8,-17.3,-247.9,43.48,1,1,1,2,3
795,Costa Rica,0.67,0.41,3.7,2.0,31.6,74.8,364.7,6.0,1.0,145.0,4.68,12.0,11.3,61.0,697.7,44.0,529.5,17.0,168.2,38.02,1,0,2,2,3
797,Iran,1.33,1.28,11.0,3.0,37.3,68.9,375.0,14.0,2.7,150.7,3.47,15.7,11.0,78.7,881.1,67.7,786.3,11.0,94.8,40.1,1,0,2,4,3
799,Saudi Arabia,1.0,1.07,10.0,3.0,44.6,71.0,396.7,8.3,1.0,131.0,2.95,13.7,13.7,67.7,767.2,57.3,672.8,10.3,94.4,41.87,1,0,2,3,3
907,Wales,0.33,0.74,8.0,2.3,46.2,77.7,451.0,9.3,1.7,118.0,3.52,8.0,11.7,65.3,729.4,43.3,547.8,22.0,181.6,41.73,0,1,2,1,3
941,Netherlands,2.6,1.78,9.6,4.2,52.8,82.2,601.0,10.0,3.2,146.0,3.04,10.2,12.4,53.4,616.6,61.2,709.6,-7.8,-93.0,40.49,3,2,0,13,5
1833,Canada,0.33,1.31,11.7,1.7,52.4,83.8,523.7,12.3,1.7,126.7,3.14,10.7,25.0,61.0,713.1,74.0,881.2,-13.0,-168.1,44.85,0,0,3,1,3
1839,United States,0.75,0.98,11.5,3.3,52.6,82.8,550.3,13.8,1.8,134.3,3.06,10.0,14.0,60.0,718.0,49.8,645.1,10.3,73.0,44.38,1,2,1,3,4
2722,Cameroon,1.33,1.02,9.3,5.3,42.6,76.3,420.3,11.0,1.0,134.3,3.4,15.3,14.3,55.0,643.3,64.0,812.4,-9.0,-169.2,41.94,1,1,1,4,3
3565,Ecuador,1.33,1.27,10.0,3.7,52.7,79.5,482.3,9.3,1.0,139.0,2.59,10.7,12.0,51.0,617.0,41.7,532.0,9.3,85.0,41.65,1,1,1,4,3
3566,Qatar,0.33,0.47,6.7,2.0,43.2,81.1,468.7,10.0,1.3,125.0,4.37,9.0,11.7,53.0,628.7,47.0,612.1,6.0,16.7,44.67,0,0,3,1,3
